,0,Cluster
875,720575940610056601,4
876,720575940610063918,6
877,720575940610069550,1
878,720575940610070442,1
879,720575940610075346,6
880,720575940610077816,5
881,720575940610077849,5
882,720575940610088618,12
883,720575940610097618,3
884,720575940610099576,1
885,720575940610100466,7
886,720575940610105156,0
887,720575940610113905,12
888,720575940610116581,2
889,720575940610118570,1
890,720575940610124202,0
891,720575940610128082,1
892,720575940610134245,0
893,720575940610136538,4
894,720575940610137698,3
895,720575940610140309,8
896,720575940610152857,19
897,720575940610182769,7
898,720575940610183025,0
899,720575940610199138,0
900,720575940610199781,4
901,720575940610202597,3
902,720575940610205282,26
903,720575940610207402,8
904,720575940610207474,4
905,720575940610209378,11
906,720575940610211779,6
907,720575940610215032,14
908,720575940610215637,3
909,720575940610215859,4
910,720575940610224738,17
911,720575940610228344,14
912,720575940610231509,4
913,720575940610236514,3
914,720575940610237646,14
915,720575940610239608,4
916,720575940610245827,11
917,720575940610256370,16
918,720575940610269304,11
919,720575940610270584,13
920,720575940610271129,12
921,720575940610272836,15
922,720575940610274034,8
923,720575940610275192,5
924,720575940610280115,0
925,720575940610282981,0
926,720575940610284530,25
927,720575940610292430,12
928,720575940610294933,22
929,720575940610299098,13
930,720575940610304610,1
931,720575940610305685,21
932,720575940610315310,20
933,720575940610316642,26
934,720575940610318450,7
935,720575940610321114,14
936,720575940610322040,2
937,720575940610326994,19
938,720575940610332024,8
939,720575940610334066,8
940,720575940610334170,3
941,720575940610346163,17
942,720575940610348773,8
943,720575940610353381,0
944,720575940610355882,18
945,720575940610366050,20
946,720575940610369941,6
947,720575940610370201,0
948,720575940610370258,0
949,720575940610375214,22
950,720575940610380970,4
951,720575940610387825,9
952,720575940610389873,10
953,720575940610390746,11
954,720575940610395571,0
955,720575940610396258,28
956,720575940610398306,13
957,720575940610399461,26
958,720575940610400409,1
959,720575940610403813,14
960,720575940610404581,2
961,720575940610409170,18
962,720575940610412773,8
963,720575940610413636,1
964,720575940610417893,0
965,720575940610418329,4
966,720575940610423235,6
967,720575940610425061,13
968,720575940610426517,0
969,720575940610432485,5
970,720575940610435441,19
971,720575940610439363,3
972,720575940610440402,4
973,720575940610442450,14
974,720575940610455781,14
975,720575940610456270,25
976,720575940610457457,3
977,720575940610458737,12
978,720575940610465905,6
979,720575940610467538,0
980,720575940610468050,8
981,720575940610469422,22
982,720575940610469986,9
983,720575940610472914,22
984,720575940610476739,18
985,720575940610477262,9
986,720575940610479811,0
987,720575940610484906,26
988,720575940610486830,3
989,720575940610487928,21
990,720575940610494562,14
991,720575940610495074,4
992,720575940610499570,13
993,720575940610501571,20
994,720575940610504750,26
995,720575940610505006,16
996,720575940610505426,1
997,720575940610505881,4
998,720575940610506360,4
999,720575940610511509,9
1000,720575940610515651,17
1001,720575940610518626,14
1002,720575940610520306,19
1003,720575940610522051,12
1004,720575940610522210,14
1005,720575940610524355,3
1006,720575940610530606,1
1007,720575940610536494,3
1008,720575940610537170,22
1009,720575940610548337,0
1010,720575940610549060,1
1011,720575940610558833,4
1012,720575940610565070,0
1013,720575940610574565,1
1014,720575940610578394,3
1015,720575940610579093,26
1016,720575940610580121,9
1017,720575940610580377,0
1018,720575940610584184,8
1019,720575940610585317,17
1020,720575940610585753,13
1021,720575940610586597,19
1022,720575940610588565,22
1023,720575940610590926,18
1024,720575940610599603,3
1025,720575940610601881,1
1026,720575940610605614,2
1027,720575940610607730,19
1028,720575940610609454,11
1029,720575940610611246,11
1030,720575940610617668,5
1031,720575940610621026,4
1032,720575940610622158,11
